Year,Series,REF_AREA,SEX,OCCUPATION,Units,Value
2004,SH_MED_DEN,,,ISCO08_221,PER_10000_POP,2.118
2012,SH_MED_DEN,,,ISCO08_221,PER_10000_POP,5.159
2013,SH_MED_DEN,,,ISCO08_221,PER_10000_POP,5.64
2017,SH_MED_DEN,,,ISCO08_221,PER_10000_POP,9.101
2018,SH_MED_DEN,,,ISCO08_221,PER_10000_POP,7.486
2004,SH_MED_DEN,,,ISCO08_222_322,PER_10000_POP,4.652
2012,SH_MED_DEN,,,ISCO08_222_322,PER_10000_POP,15.98
2013,SH_MED_DEN,,,ISCO08_222_322,PER_10000_POP,18.729
2014,SH_MED_DEN,,,ISCO08_222_322,PER_10000_POP,21.369
2017,SH_MED_DEN,,,ISCO08_222_322,PER_10000_POP,28.479
2018,SH_MED_DEN,,,ISCO08_222_322,PER_10000_POP,31.084
2004,SH_MED_DEN,,,ISCO08_2261,PER_10000_POP,0.096
2017,SH_MED_DEN,,,ISCO08_2261,PER_10000_POP,2.2
2018,SH_MED_DEN,,,ISCO08_2261,PER_10000_POP,0.967
2004,SH_MED_DEN,,,ISCO08_2262,PER_10000_POP,0.105
2012,SH_MED_DEN,,,ISCO08_2262,PER_10000_POP,0.445
2017,SH_MED_DEN,,,ISCO08_2262,PER_10000_POP,0.981
2018,SH_MED_DEN,,,ISCO08_2262,PER_10000_POP,3.954
2017,SH_MED_HWRKDIS,,F,ISCO08_221,PT,31.6
2017,SH_MED_HWRKDIS,,F,ISCO08_2221_3221,PT,88.2
2017,SH_MED_HWRKDIS,,M,ISCO08_221,PT,68.4
2017,SH_MED_HWRKDIS,,M,ISCO08_2221_3221,PT,11.8
