Year,Series,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,Units,Value
2000,NV_IND_TECH,,None,None,None,None,None,None,None,None,None,None,None,PT,12.1
2001,NV_IND_TECH,,None,None,None,None,None,None,None,None,None,None,None,PT,12.12
2002,NV_IND_TECH,,None,None,None,None,None,None,None,None,None,None,None,PT,11.86
2003,NV_IND_TECH,,None,None,None,None,None,None,None,None,None,None,None,PT,11.86
2004,NV_IND_TECH,,None,None,None,None,None,None,None,None,None,None,None,PT,9.19
2005,NV_IND_TECH,,None,None,None,None,None,None,None,None,None,None,None,PT,9.19
2006,NV_IND_TECH,,None,None,None,None,None,None,None,None,None,None,None,PT,9.13
2007,NV_IND_TECH,,None,None,None,None,None,None,None,None,None,None,None,PT,9.19
2008,NV_IND_TECH,,None,None,None,None,None,None,None,None,None,None,None,PT,1.9
2009,NV_IND_TECH,,None,None,None,None,None,None,None,None,None,None,None,PT,2.14
2010,NV_IND_TECH,,None,None,None,None,None,None,None,None,None,None,None,PT,8.47
2011,NV_IND_TECH,,None,None,None,None,None,None,None,None,None,None,None,PT,8.38
2012,NV_IND_TECH,,None,None,None,None,None,None,None,None,None,None,None,PT,8.38
2013,NV_IND_TECH,,None,None,None,None,None,None,None,None,None,None,None,PT,8.38
2014,NV_IND_TECH,,None,None,None,None,None,None,None,None,None,None,None,PT,8.38
2015,NV_IND_TECH,,None,None,None,None,None,None,None,None,None,None,None,PT,8.38
2016,NV_IND_TECH,,None,None,None,None,None,None,None,None,None,None,None,PT,8.38
2017,NV_IND_TECH,,None,None,None,None,None,None,None,None,None,None,None,PT,8.38
