Year,Series,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,Units,Value
2011,FB_ATM_TOTL,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,7.35187315184078
2012,FB_ATM_TOTL,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,7.5989285510743
2013,FB_ATM_TOTL,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,8.51632059953079
2014,FB_ATM_TOTL,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,9.2973217072539
2015,FB_ATM_TOTL,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,9.55867046391932
2016,FB_ATM_TOTL,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,10.3416820192947
2017,FB_ATM_TOTL,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,10.9700988632057
2018,FB_ATM_TOTL,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,14.2797566516626
2004,FB_CBK_BRCH,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,2.55628189320324
2005,FB_CBK_BRCH,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,2.50715594753034
2006,FB_CBK_BRCH,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,2.55036677462178
2007,FB_CBK_BRCH,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,3.4999034467196
2008,FB_CBK_BRCH,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,3.4803390546307
2009,FB_CBK_BRCH,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,4.58851138192634
2010,FB_CBK_BRCH,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,5.09576049577043
2011,FB_CBK_BRCH,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,7.35187315184078
2012,FB_CBK_BRCH,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,8.53735045045396
2013,FB_CBK_BRCH,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,8.61858462274063
2014,FB_CBK_BRCH,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,8.87522780407954
2015,FB_CBK_BRCH,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,9.45314185333567
2016,FB_CBK_BRCH,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,10.2820601627894
2017,FB_CBK_BRCH,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,12.1351117650647
2018,FB_CBK_BRCH,,None,Y_GE15,None,None,None,None,None,None,None,None,None,NUMBER,15.4667518301598
