Year,Value,Units,Series
2000,0.205,PER_100_POP,IT_USE_II99
2001,0.24,PER_100_POP,IT_USE_II99
2002,0.313,PER_100_POP,IT_USE_II99
2003,0.383,PER_100_POP,IT_USE_II99
2004,0.45,PER_100_POP,IT_USE_II99
2005,0.827,PER_100_POP,IT_USE_II99
2006,1.141,PER_100_POP,IT_USE_II99
2007,1.41,PER_100_POP,IT_USE_II99
2008,1.73,PER_100_POP,IT_USE_II99
2009,1.97,PER_100_POP,IT_USE_II99
2010,7.93,PER_100_POP,IT_USE_II99
2011,9.0,PER_100_POP,IT_USE_II99
2012,11.149,PER_100_POP,IT_USE_II99
2013,13.3,PER_100_POP,IT_USE_II99
2014,15.44,PER_100_POP,IT_USE_II99
2015,17.582,PER_100_POP,IT_USE_II99
2016,19.689,PER_100_POP,IT_USE_II99
2017,34.0,PER_100_POP,IT_USE_II99
