Year,Value,Units,Series
2000,0.62145,Percent,DC_ODA_POVLG
2001,1.48264,Percent,DC_ODA_POVLG
2002,0.65285,Percent,DC_ODA_POVLG
2003,0.82635,Percent,DC_ODA_POVLG
2004,0.75308,Percent,DC_ODA_POVLG
2005,0.63864,Percent,DC_ODA_POVLG
2006,0.91817,Percent,DC_ODA_POVLG
2007,0.82584,Percent,DC_ODA_POVLG
2008,0.94308,Percent,DC_ODA_POVLG
2009,1.41129,Percent,DC_ODA_POVLG
2010,0.98572,Percent,DC_ODA_POVLG
2011,0.75673,Percent,DC_ODA_POVLG
2012,0.65412,Percent,DC_ODA_POVLG
2013,0.78865,Percent,DC_ODA_POVLG
2014,1.00613,Percent,DC_ODA_POVLG
2015,0.74008,Percent,DC_ODA_POVLG
2016,0.64825,Percent,DC_ODA_POVLG
2017,0.58189,Percent,DC_ODA_POVLG
2018,0.5404,Percent,DC_ODA_POVLG
