Year,Value,Units,Series
2000,19.7058,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2001,157.71992,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2002,49.9457,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2003,121.55637,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2004,81.8969,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2005,75.94072,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2006,72.36831,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2007,71.16806,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2008,90.83215,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2009,123.98132,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2010,139.91102,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2011,193.17644,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2012,154.21036,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2013,206.34667,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2014,150.48798,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2015,144.27884,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2016,178.98615,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2017,247.14331,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
2018,283.05125,Constant USD,Total official development assistance (gross disbursement) for technical cooperation
