Year,Value,Units,Series
2000,553,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
2001,521,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
2002,520,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
2003,470,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
2004,447,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
2005,415,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
2006,386,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
2007,361,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
2008,342,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
2009,323,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
2010,305,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
2011,285,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
2012,266,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
2013,248,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
2014,231,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
2015,236,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
2016,200,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
2017,186,"Per 100,000 live births",Maternal mortality ratio [3.1.1]
