Year,Value,Units,Series
2000,19.15604,Percent,"Proportion of total government spending on essential services, education"
2001,21.6562,Percent,"Proportion of total government spending on essential services, education"
2002,20.44405,Percent,"Proportion of total government spending on essential services, education"
2003,21.31265,Percent,"Proportion of total government spending on essential services, education"
2004,21.61336,Percent,"Proportion of total government spending on essential services, education"
2005,22.29422,Percent,"Proportion of total government spending on essential services, education"
2006,25.50064,Percent,"Proportion of total government spending on essential services, education"
2007,21.14614,Percent,"Proportion of total government spending on essential services, education"
2008,22.23003,Percent,"Proportion of total government spending on essential services, education"
2009,19.87293,Percent,"Proportion of total government spending on essential services, education"
2010,16.03235,Percent,"Proportion of total government spending on essential services, education"
2011,17.98384,Percent,"Proportion of total government spending on essential services, education"
2012,17.43708,Percent,"Proportion of total government spending on essential services, education"
2013,17.56964,Percent,"Proportion of total government spending on essential services, education"
2014,18.28129,Percent,"Proportion of total government spending on essential services, education"
2015,16.98966,Percent,"Proportion of total government spending on essential services, education"
2016,19.1285,Percent,"Proportion of total government spending on essential services, education"
2017,17.09639,Percent,"Proportion of total government spending on essential services, education"
2018,14.10187,Percent,"Proportion of total government spending on essential services, education"
