Year,Value,Units,Series
2015,800.0,Number,Number of local governments that adopt and implement local DRR strategies in line with national strategies
2016,825.0,Number,Number of local governments that adopt and implement local DRR strategies in line with national strategies
2017,12.0,Number,Number of local governments that adopt and implement local DRR strategies in line with national strategies
2018,56.0,Number,Number of local governments that adopt and implement local DRR strategies in line with national strategies
2019,127.0,Number,Number of local governments that adopt and implement local DRR strategies in line with national strategies
2015,23.71073,Percent,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
2016,24.45169,Percent,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
2017,1.59363,Percent,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
2018,7.43692,Percent,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
2019,16.86587,Percent,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
2015,3374.0,Number,Number of local governments
2016,3374.0,Number,Number of local governments
2017,753.0,Number,Number of local governments
2018,753.0,Number,Number of local governments
2019,753.0,Number,Number of local governments
