Year,Series,Reference area,Sex,Units,Value
2018,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],,Female,Percent,40.96
2000,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,5.85
2001,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,5.85
2002,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,5.85
2007,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,17.33
2008,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,17.33
2009,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,33.17
2010,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,33.17
2011,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,33.17
2012,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,33.17
2013,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,33.17
2014,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,29.91
2015,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,29.48
2016,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,29.55
2017,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,29.58
2018,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,32.7
2019,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,32.73
2020,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,32.73
2021,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],,Female,Percent,32.73
2000,Number of seats held by women in national parliaments [5.5.1],,Female,Number,12.0
2001,Number of seats held by women in national parliaments [5.5.1],,Female,Number,12.0
2002,Number of seats held by women in national parliaments [5.5.1],,Female,Number,12.0
2007,Number of seats held by women in national parliaments [5.5.1],,Female,Number,57.0
2008,Number of seats held by women in national parliaments [5.5.1],,Female,Number,57.0
2009,Number of seats held by women in national parliaments [5.5.1],,Female,Number,197.0
2010,Number of seats held by women in national parliaments [5.5.1],,Female,Number,197.0
2011,Number of seats held by women in national parliaments [5.5.1],,Female,Number,197.0
2012,Number of seats held by women in national parliaments [5.5.1],,Female,Number,197.0
2013,Number of seats held by women in national parliaments [5.5.1],,Female,Number,197.0
2014,Number of seats held by women in national parliaments [5.5.1],,Female,Number,172.0
2015,Number of seats held by women in national parliaments [5.5.1],,Female,Number,176.0
2016,Number of seats held by women in national parliaments [5.5.1],,Female,Number,177.0
2017,Number of seats held by women in national parliaments [5.5.1],,Female,Number,176.0
2018,Number of seats held by women in national parliaments [5.5.1],,Female,Number,90.0
2019,Number of seats held by women in national parliaments [5.5.1],,Female,Number,90.0
2020,Number of seats held by women in national parliaments [5.5.1],,Female,Number,90.0
2021,Number of seats held by women in national parliaments [5.5.1],,Female,Number,90.0
2021,Number of seats in national parliaments [5.5.1],,,Number,275.0
