Year,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Occupation,Custom Breakdown,COMPOSITE_BREAKDOWN,Disability status,Economic activity,Type of product,Units,Value
2000,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,11.42
2001,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,5.12
2002,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,40.66
2003,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,61.14
2004,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,5.19
2005,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,38.64
2006,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,18.68
2007,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,60.78
2008,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,54.48
2009,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,50.04
2010,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,22.72
2011,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,216.5
2012,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,29.29
2013,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,311.18
2014,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,375.05
2015,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,14.9
2016,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,28.32
2017,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,10.36
