Year,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Occupation,Custom Breakdown,COMPOSITE_BREAKDOWN,Disability status,Economic activity,Type of product,Units,Value
2000,"Total official flows (disbursements) for agriculture, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,72.77813
2001,"Total official flows (disbursements) for agriculture, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,100.51396
2002,"Total official flows (disbursements) for agriculture, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,57.92799
2003,"Total official flows (disbursements) for agriculture, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,41.15085
2004,"Total official flows (disbursements) for agriculture, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,44.39379
2005,"Total official flows (disbursements) for agriculture, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,31.94054
2006,"Total official flows (disbursements) for agriculture, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,29.0966
2007,"Total official flows (disbursements) for agriculture, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,34.54234
2008,"Total official flows (disbursements) for agriculture, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,34.72786
2009,"Total official flows (disbursements) for agriculture, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,53.45048
2010,"Total official flows (disbursements) for agriculture, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,102.29638
2011,"Total official flows (disbursements) for agriculture, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,116.43935
2012,"Total official flows (disbursements) for agriculture, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,108.14176
2013,"Total official flows (disbursements) for agriculture, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,76.2267
2014,"Total official flows (disbursements) for agriculture, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,84.4955
2015,"Total official flows (disbursements) for agriculture, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,106.69335
2016,"Total official flows (disbursements) for agriculture, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,116.06157
2017,"Total official flows (disbursements) for agriculture, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,142.01626
2018,"Total official flows (disbursements) for agriculture, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,90.72318
