Year,SDG Series,Unit of measure,Value
2005,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,8170.754
2006,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,310052.76347
2007,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,83818.11452
2008,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,410644.96231
2009,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,203757.86395
2010,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,220624.86523
2011,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,13992.0
2012,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,39128.0
2013,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,27196.0
2014,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,364259.0
2015,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,10230262.0
2016,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,84580.0
2017,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,1111595.0
2018,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,64255.0
2019,"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",Number,183401.0
2005,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",33.43899
2006,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",1251.89777
2007,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",333.89763
2008,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",1613.92792
2009,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",790.0857
2010,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",844.02725
2011,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",52.81095
2012,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",145.60304
2013,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",99.77493
2014,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",1317.58049
2015,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",36487.25668
2016,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",297.48701
2017,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",3856.26248
2018,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",219.90928
2019,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",641.06689
2005,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,165.0
2006,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,5859.0
2007,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,4694.0
2008,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,1267.0
2009,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,1305.0
2010,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,581.0
2011,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,408.0
2012,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,485.0
2013,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,518.0
2014,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,479.0
2015,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,22663.0
2016,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,764.0
2017,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,737.0
2018,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,2902.0
2019,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,2452.0
2005,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,100.0
2006,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,101.0
2007,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,92.0
2008,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,125.0
2009,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,140.0
2010,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,142.0
2011,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,135.0
2012,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,50.0
2013,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,184.0
2014,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,281.0
2015,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,212.0
2016,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,47.0
2017,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,67.0
2018,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,9.0
2019,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,41.0
2005,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,433.0
2006,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,700.0
2007,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,729.0
2008,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,1061.0
2009,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,1400.0
2010,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,1144.0
2011,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,553.0
2012,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,492.0
2013,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,640.0
2014,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,784.0
2015,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,9460.0
2016,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,497.0
2017,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,557.0
2018,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,487.0
2019,"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number,530.0
2005,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,333.0
2006,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,599.0
2007,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,637.0
2008,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,936.0
2009,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,1260.0
2010,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,1002.0
2011,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,418.0
2012,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,442.0
2013,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,456.0
2014,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,503.0
2015,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,9248.0
2016,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,450.0
2017,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,490.0
2018,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,478.0
2019,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number,489.0
2005,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",1.77206
2006,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",2.82638
2007,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",2.90404
2008,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",4.16997
2009,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",5.4286
2010,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",4.37651
2011,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",2.08723
2012,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",1.83083
2013,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",2.34799
2014,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]","Per 100,000 population",2.83585
